#Position (bp)	insert size
7.87932414E8	312.1717027166518
7.917637135E8	312.83270139134345
7.959640515E8	312.39808844227684
8.001643895E8	313.2442602488044
8.043647275E8	312.8908653640905
8.085650655E8	313.05516116504856
8.127654035E8	312.2555001842742
8.167383885E8	311.34940221827435
8.188385575E8	314.17105024487574
8.211660795E8	311.92367570420214
8.253664175E8	313.1131035000188
8.295667555E8	312.19871948096295
8.337670935E8	313.1676729229558
8.379674315E8	313.28225137924136
8.421677695E8	313.26250778152746
8.463681075E8	312.63168540462186
8.505684455E8	312.75405608330885
8.547687835E8	312.22254509774325
8.589691215E8	313.15549677331086
8.631694595E8	312.55172298203274
8.66160665E8	311.15588708236555
8.68260834E8	311.7248534402962
8.715701355E8	313.53986520064603
8.757704735E8	312.6002106332161
8.799708115E8	313.11560719307334
8.841711495E8	311.7242688132
8.883714875E8	313.2245337034788
8.925718255E8	312.77439481821676
8.967721635E8	311.7127392644634
9.009725015E8	313.0675248465814
9.03798353E8	312.41344940701487
9.05898522E8	311.43256373015475
9.093731775E8	312.89881874221857
9.135735155E8	313.29146356366005
9.177738535E8	312.898480172514
9.219741915E8	312.72570034843204
9.261745295E8	313.003583572003
9.303748675E8	312.3921114728636
9.345752055E8	312.34794860043115
9.387755435E8	311.47864792208367
9.4175844E8	313.01688351920694
9.43858609E8	312.27610437641255
9.471762195E8	312.6760756467942
9.513765575E8	313.30747356908495
9.555768955E8	313.53679067218707
9.597772335E8	313.38955687651986
9.639775715E8	313.35471187764034
9.681779095E8	312.6258528354486
9.715636425E8	311.4814610568657
9.736638115E8	314.3377617175045
9.765785855E8	312.11397891353573
9.807789235E8	312.2302411221525
9.849792615E8	312.06348853892666
9.891795995E8	313.4317201657653
9.933799375E8	313.5592793926052
9.975802755E8	312.92502231478727
1.0017806135E9	313.75261066596613
1.0059809515E9	313.42963940193493
1.0101812895E9	313.603986003347
1.0143816275E9	312.5820214008979
1.0182451695E9	312.3856307692308
1.0203453385E9	310.6946227929374
1.0227823035E9	311.708470164197
1.0269826415E9	313.1137629742567
1.0311829795E9	312.4871235800869
1.0353833175E9	312.68336357773813
1.0395836555E9	312.7068937074986
1.0437839935E9	313.0920049948771
1.047557053E9	311.7310451403009
1.049657222E9	314.29005235602096
1.0521846695E9	313.16979116360073
1.0563850075E9	313.03853581460675
1.0605853455E9	313.1595976434484
1.0647856835E9	313.4404822501127
1.0689860215E9	313.6142665631835
1.0731863595E9	313.26702654322713
1.0773866975E9	312.00951545417735
1.081390005E9	311.67936875633416
1.083490174E9	311.98026169882456
1.0857873735E9	312.5184301521438
1.0899877115E9	312.4833123593116
1.0941880495E9	312.5105810775064
1.0983883875E9	313.9292238072901
1.1025887255E9	312.71216310116944
1.1063864205E9	311.4016475736903
1.1084865895E9	312.57501965629564
1.1109894015E9	312.86299344132107
1.1151897395E9	312.76080964007247
1.1193900775E9	312.7965887917443
1.1235904155E9	313.1313532445327
1.1277907535E9	313.20418892563384
1.131338125E9	310.8991702693268
1.133438294E9	312.3680401616899
1.1361914295E9	312.2641097434272
1.1403917675E9	313.3386893774123
1.1445921055E9	313.059546979171
1.1487924435E9	312.98620935539077
1.1529927815E9	312.9306811145511
1.1571578025E9	311.5097547962048
1.1592579715E9	311.08355892438186
1.1613934575E9	312.1833083526366
1.1655937955E9	313.5671506040637
1.1697941335E9	313.3692794547225
1.1739944715E9	313.127347991891
1.1781948095E9	312.8295904343046
1.1823951475E9	312.74608875189017
1.1865954855E9	312.018721370245
1.189879979E9	311.2691032375843
1.191980148E9	313.3784195605953
1.1949961615E9	312.5358155213361
1.1991964995E9	312.24460213596734
1.2033968375E9	312.9945232454386
1.2075971755E9	312.3365510837896
1.2117975135E9	312.89726281433127
1.2159978515E9	312.70129500186255
1.2183100455E9	312.3437369954224
1.2204102145E9	313.9198105698822
1.2243985275E9	313.25892166425615
1.2285988655E9	312.62236394049825
1.2327992035E9	313.0311655557557
1.2369995415E9	312.8009602545527
1.2411998795E9	313.1300754843702
1.2454002175E9	312.1530564394574
1.2475472805E9	312.81060606060606
1.2496474495E9	313.9012206807482
1.2538008935E9	313.4306122148422
1.2580012315E9	313.32313948390805
1.2622015695E9	313.370743012181
1.2664019075E9	313.6710752509289
1.2706022455E9	312.92527839127683
1.2748025835E9	312.63325971104945
1.2775549185E9	310.8338850879129
1.2796550875E9	311.7186049704792
1.2832032595E9	312.3228561667236
1.2874035975E9	312.9529381095504
1.2916039355E9	313.39416502696656
1.2958042735E9	312.9905580749918
1.3000046115E9	312.3004119479676
1.3042049495E9	313.66107419451123
1.3066270445E9	312.6709956709957
1.3087272135E9	313.28270496500704
1.3126056255E9	312.7800469344106
1.3168059635E9	313.47441656493345
1.3210063015E9	313.1463400433751
1.3252066395E9	313.3758078518376
1.3294069775E9	312.1381508552483
1.333181222E9	311.928391959799
1.335281391E9	312.03831348490314
1.3378076535E9	312.628270300085
1.3420079915E9	312.9334552725807
1.3462083295E9	313.03525577998147
1.3504086675E9	313.4982519907883
1.3546090055E9	312.8989269040485
1.3588093435E9	312.7181870801396
1.3630096815E9	311.07391897156214
1.3660089265E9	310.81040516893256
1.3681090955E9	312.7059995089079
1.3714103575E9	313.4989486031442
1.3756106955E9	312.2840086490552
1.3798110335E9	313.08217047747144
1.3840113715E9	313.38236898736096
1.3882117095E9	313.05233311504645
1.3924120475E9	312.1594151453685
1.3960490745E9	312.90673894295924
1.3981492435E9	310.1372131535368
1.4008127235E9	311.93732407238167
1.4050130615E9	312.5606352824289
1.4092133995E9	313.70771478667444
